brand_id,size_id,price,bar_id,published
29,1,1.2,69,true
40,4,2.5,69,true
11,1,1.2,70,true
13,1,1.2,70,true
25,4,1.6,70,true
11,1,1.3,71,true
13,1,1.3,71,true
1,1,1.2,72,true
1,1,1.2,72,true
1,6,4.75,72,true
1,1,2.3,72,true
1,1,1.2,72,true
11,1,1.45,73,true
13,1,1.45,73,true
34,4,2.7,73,true
18,1,1.2,,true
42,1,1.3,,true
18,12,2.5,,true
11,1,1.2,75,true
13,1,1.2,75,true
34,4,1.5,75,true
11,12,1.5,76,true
13,12,1.5,76,true
34,4,1.5,76,true
11,1,1.2,77,true
13,1,1.2,77,true
11,6,1.5,77,true
2,1,1.4,78,true
40,4,2.5,78,true
11,3,1.4,78,true
11,1,1.2,79,true
13,1,1.2,79,true
12,4,2,79,true
11,1,1.2,,true
13,1,1.2,,true
12,4,2,,true
20,1,1.2,80,true
11,1,1.25,81,true
13,1,1.25,81,true
11,12,1.8,,true
13,12,1.8,,true
12,4,2.5,,true
40,4,2.5,,true
11,8,5,,true
11,12,1.8,82,true
13,12,1.8,82,true
12,4,2.5,82,true
40,4,2.5,82,true
11,8,5,82,true
11,3,1.5,83,true
2,1,2,83,true
40,4,3,83,true
3,1,2,83,true
2,12,3,83,true
11,1,1.2,84,true
13,1,1.2,84,true
34,4,1.9,84,true
25,4,2.75,84,true
12,4,2.75,84,true
19,1,1.5,85,true
38,1,1.5,85,true
38,4,2,85,true
41,4,2,85,true
11,3,1.2,85,true
42,1,1.3,85,true
35,1,2.1,86,true
12,4,2.9,86,true
11,1,1.2,88,true
13,1,1.3,88,true
12,4,2.4,88,true
34,1,1.2,88,true
11,1,1.2,89,true
13,1,1.2,89,true
2,4,2.5,89,true
11,1,1.2,90,true
13,1,1.3,90,true
34,4,1.6,90,true
11,3,1,90,true
11,12,2.5,90,true
11,1,1.2,,true
34,1,1.2,,true
11,1,1.2,92,true
12,4,2,92,true
11,3,1.5,92,true
27,13,2.5,,true
20,4,1.5,,true
33,5,3.5,,true
10,4,2.5,,true
7,4,2.5,,true
15,4,3.3,,true
32,1,2.8,,true
22,1,3.3,,true
26,4,3.3,,true
17,5,3.5,,true
23,4,3,,true
11,1,1.2,,true
11,13,1.5,,true
11,12,2.2,,true
13,1,1.2,,true
13,13,1.5,,true
13,12,2.2,,true
27,1,2,,true
27,13,2.6,,true
33,13,2.5,,true
33,12,3.3,,true
11,1,1.2,,true
11,13,1.5,,true
11,12,2.2,,true
13,1,1.2,,true
13,13,1.5,,true
13,12,2.2,,true
27,1,2,,true
27,13,2.6,,true
33,13,2.5,,true
33,12,3.3,,true
1,4,2.9,,true
54,4,3,,true
53,4,3,,true
7,4,2.8,,true
8,4,2.5,,true
16,4,3,,true
15,4,3.3,,true
17,5,3.4,,true
52,5,3.4,,true
22,4,3,,true
11,1,1,,true
11,6,1.5,,true
11,3,1,,true
11,7,1.5,,true
11,1,1.2,,true
13,1,1.5,,true
44,11,1.6,,true
12,4,2.8,,true
33,5,3.8,,true
11,6,2.6,,true
13,6,2.8,,true
11,13,1.8,,true
13,13,1.9,,true
11,13,1.5,,true
11,1,1,,true
11,7,1.5,,true
11,4,1.5,,true
6,4,1.5,,true
16,4,2.5,,true
25,4,2,,true
12,4,2.5,,true
34,4,1.5,,true
11,4,1.5,,true
12,4,2.5,,true
34,4,1.5,,true
25,4,2,,true
16,4,2.5,,true
6,4,1.5,,true
11,7,1.5,,true
11,4,1.5,,true
12,4,2.5,,true
34,4,1.5,,true
25,4,2,,true
16,4,2.5,,true
6,4,1.5,,true
11,7,1.5,,true
25,13,2,,true
25,4,3,,true
25,15,2,,true
25,4,3,,true
12,4,3,,true
12,16,5.95,,true
16,4,3.5,,true
6,4,2.5,,true
33,5,4.5,,true
25,15,2,,true
25,4,3,,true
12,4,3,,true
12,16,5.95,,true
16,4,3.5,,true
6,4,2.5,,true
33,5,4.5,,true
55,4,3.5,,true
24,1,3.2,,true
33,4,3.2,,true
53,1,3.2,,true
29,1,1.35,98,true
29,2,2.6,98,true
24,15,3.2,,true
33,15,3.2,,true
